,count,mean,std,min,25%,50%,75%,max,median,skewness,kurtosis
gas_price,103734.0,19678832398.249367,12027853360.355518,10000000000.0,10000000000.0,16000000000.0,24000000000.0,107000000000.0,16000000000.0,2.193324720609728,6.950353117953869
value,103734.0,3.8038512080651706e+17,9.999610813135269e+17,0.0,0.0,1e+16,2.078566631340356e+17,5e+18,1e+16,3.5380375900996963,12.460590240770175
gas_limit,103734.0,60439.311180519406,47596.36986377004,21000.0,21000.0,21000.0,121000.0,149996.0,21000.0,0.46282984680832207,-1.67539190424048
data_size,103734.0,9.627296739738176,27.080641676326117,0.0,0.0,0.0,0.0,128.0,0.0,2.8949097141562503,7.2960190353550995
nonce_conflict,103734.0,0.08576744365396109,0.28002168694461865,0.0,0.0,0.0,0.0,1.0,0.0,2.958631864963348,6.753632722595778
nonce_gap,103734.0,2.351283089440299,3.537064235282888,-10.0,0.0,0.0,4.0,15.0,0.0,1.4157597789138872,1.0959033545799022
gas_differential,103734.0,756801048.8364471,3414944940.6094723,-24000000000.0,0.0,0.0,0.0,47000000000.0,0.0,7.135631665373321,62.11391635667452
gas_volatility,103734.0,1.0371215832614298,0.1405239804349029,0.3294783339700094,0.9698186364355577,1.0059146349635326,1.0458302501100711,2.0084574250053016,1.0059146349635326,2.9508839630940216,9.29184431731661
submission_frequency,103734.0,3.9338500395241676,3.7356134454751833,1.0,1.0,2.0,6.0,21.0,2.0,1.4292097298008408,1.2643981752892524
arrival_interval,103734.0,9.333781228392818,2.513342590320915,0.050051767137689,10.019944469363269,10.060869148590651,10.13025718310248,11.145322609126984,10.060869148590651,-2.9850455284754696,7.017407713233013
balance_adequacy,103734.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
recipient_similarity,103734.0,-0.8701197293076522,0.4485966785498932,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,3.477870215701627,10.920373126000422
