Feature,Importance_Mean,Importance_Std,Accuracy_Drop_%
nonce_gap,0.14226153178772835,0.0017584979968443579,14.744966778238497
submission_frequency,0.09743577384682124,0.001382290889097046,10.098915921466753
arrival_interval,0.016330071817612167,0.00028335544332576607,1.6925613228755538
gas_differential,0.004810334024196272,0.0001694548207571787,0.4985762102213122
value,0.0009398949245674304,0.00019189308562582915,0.09741719538392606
gas_volatility,0.0004964573191304833,0.00018921083941187303,0.0514562621771501
nonce_conflict,0.00046753747529765244,8.079748693422737e-05,0.04845881001149221
gas_limit,2.4099869860705338e-05,7.84634915703436e-05,0.0024978768047162593
data_size,9.639947944295458e-06,5.6210072731904455e-05,0.0009991507218878846
recipient_similarity,4.819973972136626e-06,3.373981780495639e-05,0.0004995753609427915
balance_adequacy,0.0,0.0,0.0
gas_price,-2.4099869860683132e-05,5.388894725742559e-05,-0.002497876804713958
