,XGBoost,Random Forest
gas_price,0.017615891993045807,0.020204302398327698
value,0.053029563277959824,0.043800897530015696
gas_limit,0.03326636552810669,0.03240242107570924
data_size,0.0360395722091198,0.002862926176509368
nonce_conflict,0.06780239939689636,0.020878317893889338
nonce_gap,0.3071032166481018,0.43641354173023567
gas_differential,0.14724373817443848,0.06258115079777697
gas_volatility,0.01189032569527626,0.027044072819696747
submission_frequency,0.1897270679473877,0.2717625070948223
arrival_interval,0.042537569999694824,0.05773423763976899
balance_adequacy,0.0,0.0
recipient_similarity,0.09374432265758514,0.024315624843248194
