Feature Removed,Baseline Accuracy,Ablated Accuracy,Accuracy Drop,Drop %,F1 Drop
nonce_gap,0.9657299850580807,0.9398949245674073,0.02583506049067341,2.6751846675983293,0.025565201385634673
submission_frequency,0.9657299850580807,0.9629344001542391,0.0027955849038415748,0.2894789379117646,0.00279763396918975
gas_differential,0.9657299850580807,0.9639465946883887,0.001783390369691995,0.18466759832301766,0.0016814460404981357
value,0.9657299850580807,0.9639947944281101,0.0017351906299706288,0.17967658215212934,0.0016425049819264181
nonce_conflict,0.9657299850580807,0.9641875933869957,0.0015423916710850527,0.15971251746856452,0.0014692410920177368
balance_adequacy,0.9657299850580807,0.9641875933869957,0.0015423916710850527,0.15971251746856452,0.0014692410920177368
gas_limit,0.9657299850580807,0.9642839928664385,0.0014459921916422092,0.14973048512677636,0.001365200968583613
gas_price,0.9657299850580807,0.9644767918253242,0.001253193232756522,0.12976642044320005,0.0011615023118856094
recipient_similarity,0.9657299850580807,0.9646695907842098,0.001060394273870946,0.10980235575963523,0.0009578535554002343
data_size,0.9657299850580807,0.964814190003374,0.0009157950547067362,0.09482930724695875,0.0008275426074935144
arrival_interval,0.9657299850580807,0.9651033884417024,0.0006265966163783165,0.06488321022160577,0.0005410930891174281
gas_volatility,0.9657299850580807,0.9651515881814238,0.0005783968766569503,0.05989219405071744,0.0004721562230921572
